ORGANIZATION NAME	COMPANY NAME	CONTACT PERSON	MOBILE NO.	EMAIL ID	PAID DIVISIONS	DIVISION ABBREVIATION	NAME OF DIVISONS & COST DETAILS	AMOUNT PAID PER DIVISION	TOTAL AMOUNT PAID PER MONTH	PAYMENT FREQUENCY	CLIENT SINCE	CLIENT TILL	CLIENT DURATION	TOTAL AMOUNT PAID TILL DATE	TDS %	CLIENT LOCATION (CITY)	CLIENT LOCATION (STATE)	REMARKS	Whatsapp Group Details
Mark Steels	Mark Steels Ltd.	Raju ji	6289576443	accounts@marksteels.com	2	SID, SMS	Sponge Iron Division(C), Steel Melting Shop(C)	6000	12000	Quarterly	01/10/2017	Present	102	1224000	10	Purulia	West Bengal		Done
Maanheruka Group	Dhanbad Fuels Ltd.	Satish Ji	9903923045	mspl.purchase3@maan.co.in	1	SID, MNH	Sponge Iron Division(C)	7000	7000	Monthly	01/07/2017	Present	105	735000	10	Ranigang	West Bengal	We have to find out what MNH is and remove it if required / Dhanbad Fuels(C) instead of is the name of the Division in Software instead of Sponge Iron Division(C)	One group for Maan steel, Dhanbad, Hitech and Maan Concast
Maanheruka Group	Hitech Plastochem Udyog Pvt. Ltd.	Satish Ji	9903923045	mspl.purchase3@maan.co.in	1	HDP	HDPE Bags(C)	7000	7000	Monthly	01/07/2017	Present	105	735000	10	Bardhaman	West Bengal	Hitech Plastochem(C) is the name of the Division in Software	One group for Maan steel, Dhanbad, Hitech and Maan Concast
Maanheruka Group	Maan Concast Pvt. Ltd.	Satish Ji	9903923045	mspl.purchase3@maan.co.in	1	CCM, SML	Continious Casting Machine (C), SML	7000	7000	Monthly	01/07/2017	Present	105	735000	10	Bankura	West Bengal	CCM is getting charged instead of SML	One group for Maan steel, Dhanbad, Hitech and Maan Concast
Maanheruka Group	Maan Steel & Power Ltd.	Satish Ji	9903923045	mspl.purchase3@maan.co.in	4	SID, PP, CCM, RM	Sponge Iron Division(C), Power Plant(C), Continious Casting Machine(C), Rolling Mill(C)	7000	28000	Monthly	01/07/2017	Present	105	2940000	10	Bardhaman	West Bengal	Direct Reduced Iron(C) instead of is the name of the Division in Software instead of Sponge Iron Division(C)	One group for Maan steel, Dhanbad, Hitech and Maan Concast
B R Group	B. R Sponge & Power Ltd.	Lokesh ji	7077702104	purchase@brsponge.com	1	SID	Sponge Iron Division(C)	8000	8000	Quarterly	01/09/2017	Present	103	824000	10	Rourkela	Odisha	Sponge(C) instead of is the name of the Division in Software instead of Sponge Iron Division(C)	One group for BR Sponge, Maa Mangala 1&2, Maa Shakambari
Sky Alloys and Power Pvt Ltd	Sky Alloys and Power Pvt Ltd	Mansur Ji	7024330099	skyalloys@yahoo.in	5	PP, RAW, RM, SID, SMS, CCM, FRO, DRI Project, Ferro Project	Power Plant(C), Raw(C), Rolling Mill, Sponge Iron Division(C), Steel Melting Shop(C), Continious Casting Machine, Ferro(C)	6600	33000	Quarterly	22/06/2020	Present	69	2277000	10	Raigarh	Chhattisgarh	Pending Confirmation regarding projects / We do not charge Rolling Mill, instead we are charging for RAW	Done
B R Group	Maa Mangla Ispat Pvt. Ltd.	Lokesh ji	7077702104	purchase@brsponge.com	5	SID, PP, SMS, RM, PM	Sponge Iron Division(C), Power Plant(C), Steel Melting Shop(C), Rolling Mill(C), Pipe Mill(C)	8000	40000	Quarterly	01/08/2017	Present	104	4160000	10	Bhubaneswar	Odisha	Direct Reduced Iron(C) instead of is the name of the Division in Software instead of Sponge Iron Division(C)	One group for BR Sponge, Maa Mangala 1&2, Maa Shakambari
Surendra Mining Industries Pvt. Ltd.	Surendra Mining Industries Pvt. Ltd.	Sandeep Ji	9437048230	vishalmetallics@gmail.com	3	PP, SMS, SID	Power Plant(C), Steel Melting Shop(C), Sponge Iron Division(C)	5500	16500	Quarterly	01/07/2017	Present	105	1732500	2	Sundargarh	Odisha	Direct Reduced Iron(C) instead of is the name of the Division in Software instead of Sponge Iron Division(C)	Done
Ugen Ferro Alloys Pvt. Ltd.	Ugen Ferro Alloys Pvt. Ltd.	Om Prakash	9593371339	purchase@ugenferro.com, stores@ugenferro.com, omprakashprasad099@gmail.com	1	FRO	Ferro(C)	9500	9500	Quarterly	01/11/2017	Present	101	959500	3	Jaigaon	Alipurduar		Done
Balmukund Group	Balajee Mini Steels & Re Rolling Pvt. Ltd.	Ankit verma	8340666343	rjha@balmukund.com	2	SMS, CCM, RM	Steel Melting Shop(C), Continious Casting Machine, Rolling Mill(C)	6000	12000	Quarterly	01/11/2018	Present	89	1068000	10	Kolkata	West Bengal		One group for Balmukund and Balajee
Sky Alloys and Power Pvt Ltd	Sky Steel & Power Pvt. Ltd	Venkat Ravan	7024036515	skysteelproject@gmail.com	2	PP, SID	Power Plant(C), Sponge Iron Division(C)	6600	13200	Quarterly	26/02/2024	Present	25	330000	10	Raipur	Chhattisgarh		Done
