Company Name	Amount(Incl GST)		Q3 FY 23-24	Q4 FY 23-24	Q1 FY 24-25	Q2 FY 24-25	Q3 FY 24-25	Q4 FY 24-25	Q1 FY 25-26	Q2 FY 25-26	Q3 FY 25-26	Q4 FY 25-26	Median Value
			Days	Days	Days	Days	Days	Days	Days	Days	Days	Days	Days
GM Iron & Steels Ltd. Badampahar	38880	38880			18	11	50	23	35	14	26	12	23
Dadiji Steel Manufacture & Trading Pvt Ltd	70800	70800	6	15	9	15	6	14	66	10	16	5	14
Shri Varu Polytex Pvt. Ltd.			20		45		23		20		27		23
Govinda Polytex India Pvt. Ltd.			19		45		28		1		27		27
Rausheena Udyog Ltd.	34800	34800	36	23	16	31	20	26	9	52	15	26	23
Black Rock Steel & Power Pvt Ltd	31320	31320	31	22	21	10	28	19	4	11	30	12	21
Bharat Hitech (Cements) Pvt Ltd	41760	41760	31	31	33	25	8	9	4	29	42	36	29
Singhal Enterprises(Jharsuguda)Pvt Ltd	41760	41760	10	10	11	16	2	31	11	9	10	2	10
Jay Iron & Steels Ltd.	32400	32400	20	8	14	15	1	16	9	4	7	7	9
Agroha Steel and Power Pvt. Ltd.	104400	104400	4	2	7	0	57	41	24	2	7	18	7
Gopal Sponge & Power Pvt. Ltd.	24300	24300	5	7	9	12	27	6	24	2	12	8	9
Suprime Cement Pvt. Ltd.	27840	27840	19	30	43	11	9	9	13	7	12	30	12
Karni Kripa Power Pvt Ltd	74340	74340	65	11	32	22	38	6	45	31	21	5	31
GM Iron & Steel Pvt. Ltd.			37	18	33	15	17	54	15	172	80		33
Crescent Foundry Co Pvt.Ltd.	64800	64800	38	23	37	35	25	56	9	50	23	2	35
Maruti Ferrous Private Limited	204120	204120	61	11	16	35	55	8	21	28	65	6	28
Vraj Iron & Steels Ltd. Bilaspur	24300	24300	39	51	43	52	16	15	8	50	56	47	43
Spintech Tubes Pvt. Ltd.	83520	83520	10	31	31	24	49	12	16	34	56	16	31
MVK Industries Pvt. Ltd.	29160	29160	4	8	11	4	75	6	24	4	8	11	8
Shakambari Overseas Trade Pvt. Ltd.	25920	25920	31	14	21	28	14	24	9	55	38	29	24
Pratishtha Polypack Pvt. Ltd.	32400	32400	16	38	35	12	7	20	9	16	9	7	16
Rashmi Sponge Iron & Power Industries Pvt. Ltd.			50	7	17	28	8	54	48	24	49		28
Indo East Corporation Pvt. Ltd.	16200	16200	11	11	12	4	16	10	21	21	26	28	12
Agrawal Sponge Pvt. Ltd.	29160	29160	36	29	57	14	14	24	9	14	8	8	14
Vraj Metaliks Pvt. Ltd.	29160	29160	12	11	21	8	98	15	80	14	8	8	14
Vraj Iron & Steels Ltd. (Siltara Div)	22680	22680	32	77	58	52	28	88	17	55	65	47	55
Maa Mangla Ispat Pvt. Ltd.	129600	129600	63	15	15	39	18	15	32	38	34	20	32
B. R Sponge & Power Ltd.	25920	25920	60	19	11	24	46	7	14	11	14	8	14
Amiya Steel Pvt. Ltd.	22680	22680	15	16	37	46	21	12	9	23	12	26	16
Sky Alloys and Power Pvt Ltd	106920	106920	39	8	59	17	29	9	59	28	14	78	28
Nutan Ispat & Power Ltd	113400	113400	60	11	16	35	15	19	14	53	48	11	19
Sri Venkatesh Iron & Alloys (India) Ltd.	27540	27540	55	42	61	19	8	41	13	8	17	5	19
Maa Shakambari Steel Ltd.	103680	103680	25	14	17	19	20	15	13	14	20	11	17
Maan Steel & Power Ltd.	30240	30240	17	28	16	10	28	15	8	23	27	16	17
Shree Parashnath Re-Roolling Mills Ltd.	21240	21240	116	65	31	50	16	12	4	42	44	46	42
Balajee Mini Steels & Re Rolling Pvt. Ltd.	38880	38880	32	11	53	10	20	28	7	36	7	11	20
Balmukund Sponge Iron Pvt. Ltd.	121500	121500	32	44	17	10	15	6	15	36	15	11	15
Ugen Ferro Alloys Pvt. Ltd.	27075	27075	26	21	35	21	23	8	43	3	7	20	21
Hariom Ingots & Power Pvt. Ltd.	76557	76557	24	29	54	35	6	23	86	13	30	16	29
Surendra Mining Industries Pvt. Ltd.	57420	57420	32	10	5	4	16	19	8	7	2	6	8
Mark Steels P Ltd.	38880	38880	33	4	15	5	7	6	4	0	9	8	6
Maan Concast Pvt. Ltd.	7560	7560	59	24	57	33	49	6	30	22	9	6	30
Hitech Plastochem Udyog Pvt. Ltd.	7560	7560	52	26	31	5	6	40	48	70	56	18	40
Dhanbad Fuels Ltd.	7560	7560	43	15	9	16	20	38	35	24	14	8	20
Hi-Tech Power & Steel Ltd.	129600	129600	48	8	11	11	16	48	7	3	3	5	11
